Year,Growth,Debt/GDP,CA Balance/GDP,Capital Account/GDP,Primary Outcome/GDP,ISO
1996,-0.268043252706605,-0.0277984250173743,-1.12505052654905,-1.26484412018398e-06,-2.18459697387067,Min
1997,-0.268043252706605,-0.0277984250173743,-1.12505052654905,-1.26484412018398e-06,-2.18459697387067,Min
1998,-0.268043252706605,-0.0277984250173743,-1.12505052654905,-1.26484412018398e-06,-2.18459697387067,Min
1999,-0.268043252706605,-0.0277984250173743,-1.12505052654905,-1.26484412018398e-06,-2.18459697387067,Min
2000,-0.268043252706605,-0.0277984250173743,-1.12505052654905,-1.26484412018398e-06,-2.18459697387067,Min
2001,-0.268043252706605,-0.0277984250173743,-0.791338371492019,-9.2090693636084e-07,-2.18459697387067,Min
2002,-0.0452815417704034,-0.0277984250173743,-0.791338371492019,0,-2.18459697387067,Min
2003,-0.193633792550668,-0.0277984250173743,-0.791338371492019,-0.000748260046413575,-2.18459697387067,Min
2004,-0.101279182187375,-0.0277984250173743,-0.791338371492019,0,-2.18459697387067,Min
2005,-0.0517331423135697,-0.0623104328831389,-0.791338371492019,-4.59732838668726e-07,-2.18459697387067,Min
2006,-0.0999650394167815,-0.0623104328831389,-0.791338371492019,-1.3693792503159e-08,-2.18459697387067,Min
2007,-0.120778764855008,-0.0623104328831389,-0.791338371492019,-1.44827404391872e-05,-2.18459697387067,Min
2008,-0.138432639204243,-0.0623104328831389,-0.972218520871161,0,-2.18459697387067,Min
2009,-0.303737972275462,-0.0623104328831389,-0.622836884516359,-2.6564505486721e-05,-2.18459697387067,Min
2010,-0.0564556709177623,-0.0623104328831389,-0.544901088664119,-1.57823679134198e-06,-2.18459697387067,Min
2011,-0.551690355719192,-0.0623104328831389,-0.557183393089169,0,-2.95797510992875,Min
2012,-0.0733836767934754,-0.0623104328831389,-0.558036312482007,0,-2.84431328000541,Min
2013,-0.348096851134713,-0.0623104328831389,-0.524660154671925,0,-1.9555359558532,Min
2014,-0.532217885153892,-0.0623104328831389,-0.528707577143195,0,-0.984030907400592,Min
2015,-0.274632275133127,-0.0623104328831389,-0.444045873359322,0,-0.295492067457646,Min
2016,-0.145477042306195,-0.0623104328831389,-0.464836339453359,0,-0.295492067457646,Min
2017,-0.139786783118814,-0.0623104328831389,-0.490697385415339,0,-0.295492067457646,Min
2018,-0.0255069580754559,-0.0623104328831389,-0.517660422031194,0,-0.295492067457646,Min
2019,-0.084562685318096,-0.0623104328831389,-0.466780479961127,0,-0.295492067457646,Min
2020,-0.207369889621832,-0.0623104328831389,-0.466780479961127,0,-0.295492067457646,Min
2021,-0.207369889621832,-0.0623104328831389,-0.466780479961127,0,-0.295492067457646,Min
1995,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
1996,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
1997,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
1998,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
1999,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
2000,0.0820281206635476,0.0170860387653547,-0.000646411363515622,1.9312988185351e-11,-0.0158557967904251,Median
2001,0.0820281206635476,0.0170860387653547,-0.000296930128996194,0,-0.0158557967904251,Median
2002,0.0793732610228868,0.0212938747884551,-0.000438388192120858,1.9312988185351e-11,-0.0158557967904251,Median
2003,0.0971604938271604,0.0164766053521366,-0.000347848061711253,0,-0.0158557967904251,Median
2004,0.124553682956778,0.0164766053521366,-0.000239536412088154,1.73858266836745e-08,-0.018060640759615,Median
2005,0.111455447772614,0.0160792406715949,-0.000672730310702043,1.28244604305769e-09,-0.018060640759615,Median
2006,0.126657087234634,0.0156184816521631,-0.000660843063308452,4.57827238620191e-08,-0.018060640759615,Median
2007,0.12274286387576,0.0166747177015196,-0.00058107211798555,4.57319006261977e-08,-0.018060640759615,Median
2008,0.134507031278577,0.0226824876079058,-0.00100087344731376,6.93715712932579e-08,-0.0169427345794977,Median
2009,0.0263918889443948,0.0294854938993364,-0.00071823938664592,6.11566246639571e-08,-0.0158557967904251,Median
2010,0.106720075650699,0.0172344861800287,-0.00098056039902194,1.04264058832002e-07,-0.0158557967904251,Median
2011,0.110069982667377,0.019883580963527,-0.0010044332150091,6.2685695342442e-07,-0.0241650059224047,Median
2012,0.080141441027405,0.0220332514060241,-0.000738952649926711,6.23199186736043e-07,-0.0183763792527527,Median
2013,0.0677372105431631,0.0115740074373469,-0.000583838382055401,5.64737145136039e-07,-0.0167578193401796,Median
2014,0.0609413708409747,0.0199787214713096,-0.000514188877130364,1.18243830600943e-06,-0.0165798246267206,Median
2015,0.0525161812108619,0.0163166046268862,-0.000936733765436077,4.08739381444936e-07,-0.00838482650063703,Median
2016,0.0570001545955774,0.0163166046268862,-0.000675114625704605,3.31427415540514e-07,0.00196537990775802,Median
2017,0.0720260022381473,0.0259236054381554,-0.000505865993917863,8.01390924728094e-07,0.00323867214933916,Median
2018,0.0691993586165445,0.0192263404625671,-0.000714153923483857,5.08625396925279e-07,-0.0111306371453955,Median
2019,0.0553297791635498,0.0181213748089308,-0.000494545160893603,1.00712833713783e-06,-0.00770138775987069,Median
2020,0,0.0235286336952329,-0.000268982256119069,8.42664284138677e-07,0.00306285287062457,Median
2021,0,0.0276956357684231,-0.000263121458773461,6.35246866189299e-07,0.00406576460188202,Median
