,Rule of Law,Government Size,Regulatory Efficiency,Open Markets
HRV,0.543,0.5523333333333333,0.6033333333333333,0.7413333333333334
CUB,0.2593333333333333,0.37799999999999995,0.3546666666666667,0.2823333333333333
CYP,0.5640000000000001,0.6913333333333332,0.719,0.7396666666666668
CZE,0.6066666666666667,0.759,0.7816666666666666,0.8230000000000001
COD,0.251,0.8903333333333333,0.561,0.38199999999999995
DNK,0.8416666666666667,0.4956666666666667,0.8723333333333333,0.8563333333333333
DJI,0.206,0.3833333333333333,0.6003333333333333,0.6163333333333333
DMA,0.559,0.743,0.7200000000000001,0.5586666666666666
DOM,0.33666666666666667,0.8856666666666667,0.6153333333333333,0.6246666666666667
ECU,0.3006666666666667,0.5963333333333333,0.5646666666666667,0.4793333333333332
EGY,0.3913333333333333,0.5016666666666666,0.642,0.6030000000000001
SLV,0.3263333333333333,0.8123333333333335,0.6363333333333334,0.7546666666666667
GNQ,0.24533333333333338,0.49900000000000005,0.5236666666666667,0.4126666666666667
ERI,0.24233333333333332,0.5183333333333333,0.6110000000000001,0.2973333333333334
EST,0.7999999999999999,0.7770000000000001,0.7183333333333333,0.8563333333333333
SWZ,0.3916666666666666,0.599,0.6793333333333335,0.5656666666666667
ETH,0.3546666666666667,0.842,0.5286666666666666,0.38566666666666666
FJI,0.5006666666666667,0.7086666666666667,0.6923333333333334,0.5793333333333334
FIN,0.8716666666666667,0.4996666666666667,0.7546666666666666,0.8396666666666667
FRA,0.7393333333333333,0.36933333333333335,0.6893333333333334,0.7563333333333334
GAB,0.3036666666666667,0.8373333333333334,0.6413333333333333,0.5363333333333333
GEO,0.6293333333333333,0.8403333333333333,0.8126666666666668,0.7646666666666667
DEU,0.781,0.6446666666666666,0.7519999999999999,0.7896666666666666
GHA,0.4183333333333333,0.5733333333333334,0.598,0.6503333333333333
GRC,0.49733333333333335,0.5059999999999999,0.6993333333333335,0.5896666666666667
GTM,0.336,0.8993333333333333,0.6106666666666666,0.6906666666666667
GIN,0.2916666666666667,0.6916666666666665,0.5996666666666667,0.504
GNB,0.37300000000000005,0.8636666666666667,0.621,0.41733333333333333
GUY,0.39799999999999996,0.71,0.7003333333333334,0.5383333333333333
HTI,0.3073333333333333,0.831,0.6043333333333333,0.4896666666666667
HND,0.35666666666666663,0.8226666666666667,0.5473333333333333,0.6980000000000001
HKG,0.8653333333333334,0.9443333333333334,0.9,0.9
HUN,0.5036666666666667,0.6346666666666666,0.7403333333333334,0.7896666666666666
ISL,0.7886666666666667,0.702,0.7766666666666667,0.8116666666666665
IND,0.523,0.5676666666666668,0.5803333333333334,0.508
IDN,0.45766666666666667,0.8793333333333334,0.6306666666666666,0.6016666666666667
IRN,0.33466666666666667,0.8793333333333333,0.6076666666666667,0.215
IRQ,0.2383333333333333,0.2865,0.6936666666666667,
IRL,0.819,0.7549999999999999,0.8186666666666667,0.8230000000000001
ISR,0.7416666666666667,0.639,0.7406666666666665,0.7683333333333332
ITA,0.574,0.4916666666666667,0.6960000000000001,0.7396666666666668
JAM,0.523,0.789,0.7839999999999999,0.6693333333333333
JPN,0.7946666666666667,0.5693333333333334,0.8210000000000001,0.7076666666666666
JOR,0.556,0.6316666666666667,0.702,0.7066666666666667
KAZ,0.529,0.884,0.7643333333333334,0.5853333333333333
KEN,0.39799999999999996,0.5670000000000001,0.6413333333333334,0.5826666666666667
KIR,0.39399999999999996,0.5696666666666667,0.689,0.37733333333333335
XKX,0.5223333333333333,0.8796666666666667,0.707,0.5526666666666668
KWT,0.4736666666666667,0.725,0.6413333333333333,0.6469999999999999
KGZ,0.339,0.8039999999999999,0.7536666666666667,0.615
LAO,0.36200000000000004,0.754,0.6546666666666667,0.37200000000000005
LVA,0.5753333333333334,0.7943333333333333,0.7996666666666666,0.773
LBN,0.3116666666666667,0.5670000000000001,0.5830000000000001,0.665
LSO,0.45,0.5416666666666666,0.62,0.545
LBR,0.342,0.5866666666666667,0.6133333333333333,0.49266666666666664
LBY,0.168,0.36800000000000005,0.5519999999999999,0.42500000000000004
LIE,,,,0.85
LTU,0.638,0.8233333333333334,0.7593333333333333,0.7896666666666666
LUX,0.7986666666666666,0.7086666666666667,0.6766666666666667,0.8729999999999999
MAC,0.5213333333333333,0.8876666666666667,0.612,0.8166666666666668
MDG,0.24133333333333332,0.8856666666666667,0.535,0.61
MWI,0.36366666666666664,0.5856666666666667,0.56,0.5716666666666667
MYS,0.6793333333333332,0.8253333333333334,0.8176666666666667,0.658
MDV,0.4013333333333333,0.4883333333333333,0.775,0.37799999999999995
MLI,0.319,0.7939999999999999,0.6103333333333333,0.5790000000000001
MLT,0.6026666666666666,0.6856666666666666,0.6796666666666665,0.773
MRT,0.2346666666666667,0.735,0.6859999999999999,0.505
MUS,0.6346666666666667,0.8180000000000001,0.7573333333333334,0.7956666666666666
MEX,0.41500000000000004,0.7453333333333333,0.6883333333333335,0.7433333333333333
FSM,0.2313333333333333,0.6643333333333333,0.6960000000000001,0.502
MDA,0.3546666666666667,0.7733333333333333,0.597,0.611
MNG,0.389,0.4976666666666667,0.7389999999999999,0.6030000000000001
MNE,0.47866666666666663,0.6333333333333333,0.7623333333333334,0.699
MAR,0.46466666666666656,0.672,0.6263333333333333,0.7146666666666667
MOZ,0.33299999999999996,0.43766666666666665,0.5416666666666666,0.539
NAM,0.5206666666666667,0.433,0.7593333333333333,0.6276666666666667
NPL,0.3276666666666667,0.9009999999999999,0.5796666666666667,0.3553333333333333
NLD,0.8266666666666667,0.5993333333333334,0.765,0.8563333333333333
NZL,0.9306666666666666,0.7276666666666666,0.8863333333333334,0.8246666666666668
NIC,0.24333333333333332,0.84,0.6349999999999999,0.6366666666666667
NER,0.33466666666666667,0.54,0.5823333333333333,0.5216666666666666
NGA,0.3066666666666667,0.872,0.6589999999999999,0.5016666666666666
PRK,0.20000000000000004,0.0,0.03333333333333333,0.0
MKD,0.564,0.7999999999999998,0.779,0.7093333333333334
NOR,0.8866666666666667,0.6113333333333333,0.7296666666666667,0.743
OMN,0.5613333333333332,0.4706666666666666,0.7023333333333334,0.7040000000000001
PAK,0.32433333333333336,0.7356666666666666,0.5786666666666667,0.5363333333333333
PAN,0.4303333333333333,0.8506666666666666,0.658,0.7426666666666666
PNG,0.4206666666666667,0.6833333333333332,0.6536666666666667,0.4696666666666667
PRY,0.316,0.918,0.5483333333333333,0.7036666666666666
PER,0.42333333333333334,0.8696666666666667,0.7156666666666668,0.7403333333333334
PHL,0.39200000000000007,0.8863333333333333,0.6549999999999999,0.669
POL,0.5643333333333334,0.684,0.7203333333333334,0.773
PRT,0.6536666666666666,0.45199999999999996,0.7086666666666668,0.723
QAT,0.6723333333333333,0.8506666666666667,0.7056666666666667,0.6776666666666666
COG,0.28400000000000003,0.33466666666666667,0.46399999999999997,0.47300000000000003
ROU,0.5356666666666666,0.8176666666666667,0.7159999999999999,0.7063333333333334
RUS,0.4456666666666667,0.7866666666666667,0.6326666666666667,0.46466666666666673
RWA,0.702,0.786,0.7090000000000001,0.569
LCA,0.6266666666666668,0.7186666666666667,0.7593333333333333,0.5976666666666667
VCT,0.5246666666666667,0.7626666666666667,0.8013333333333333,0.6189999999999999
WSM,0.44,0.7103333333333334,0.7943333333333333,0.5173333333333334
STP,0.35200000000000004,0.6576666666666666,0.5956666666666667,0.5393333333333333
SAU,0.544,0.5713333333333334,0.7086666666666667,0.5606666666666666
SEN,0.4143333333333333,0.6653333333333333,0.592,0.5556666666666666
SRB,0.4363333333333333,0.637,0.7346666666666667,0.6913333333333332
SYC,0.4609999999999999,0.7566666666666667,0.6746666666666666,0.5723333333333334
SLE,0.28400000000000003,0.7853333333333333,0.5043333333333333,0.498
SGP,0.935,0.8700000000000001,0.8956666666666666,0.85
SVK,0.484,0.6936666666666667,0.663,0.773
SVN,0.6213333333333333,0.5206666666666666,0.7603333333333332,0.6896666666666667
SLB,0.47833333333333333,0.6696666666666667,0.751,0.399
SOM,0.25433333333333336,,,
ZAF,0.5966666666666667,0.684,0.6659999999999999,0.572
KOR,0.6433333333333334,0.797,0.7776666666666667,0.7346666666666666
ESP,0.622,0.4696666666666667,0.7066666666666667,0.8063333333333333
LKA,0.4306666666666667,0.6636666666666667,0.701,0.515
SDN,0.23466666666666666,0.8946666666666667,0.5776666666666667,0.27033333333333337
SUR,0.33666666666666667,0.5316666666666667,0.5743333333333333,0.48266666666666674
SWE,0.9123333333333333,0.544,0.7560000000000001,0.8396666666666667
CHE,0.8303333333333333,0.7726666666666667,0.7826666666666666,0.8833333333333333
SYR,0.273,0.138,0.5506666666666666,0.28300000000000003
TWN,0.7480000000000001,0.8576666666666667,0.7713333333333333,0.6873333333333332
TJK,0.451,0.8453333333333334,0.6173333333333334,0.4186666666666667
TZA,0.34833333333333333,0.8286666666666666,0.614,0.6063333333333333
THA,0.4286666666666667,0.8773333333333334,0.7176666666666667,0.6603333333333333
BHS,0.503,0.7946666666666666,0.7069999999999999,0.5256666666666666
GMB,0.36666666666666664,0.48633333333333334,0.6046666666666667,0.6323333333333333
TLS,0.25233333333333335,0.49433333333333335,0.6933333333333334,0.48333333333333334
TGO,0.3076666666666667,0.48366666666666663,0.578,0.5406666666666667
TON,0.4266666666666667,0.8333333333333334,0.8006666666666667,0.46199999999999997
TTO,0.4593333333333333,0.5016666666666666,0.734,0.6116666666666667
TUN,0.4263333333333333,0.7003333333333334,0.7050000000000001,0.5236666666666666
TUR,0.504,0.7879999999999999,0.6106666666666666,0.7120000000000001
TKM,0.207,0.9556666666666667,0.421,0.3
UGA,0.37366666666666665,0.8153333333333334,0.6993333333333335,0.5936666666666666
UKR,0.3316666666666666,0.6703333333333333,0.5853333333333334,0.48700000000000004
ARE,0.79,0.8943333333333333,0.8039999999999999,0.6143333333333333
GBR,0.8833333333333334,0.5436666666666667,0.8356666666666667,0.8563333333333333
USA,0.7603333333333334,0.588,0.8423333333333334,0.8390000000000001
URY,0.693,0.7256666666666667,0.6983333333333334,0.6513333333333333
UZB,0.3606666666666667,0.854,0.6026666666666667,0.24166666666666667
VUT,0.6346666666666667,0.9116666666666666,0.6346666666666666,0.6
VEN,0.08833333333333333,0.494,0.19866666666666666,0.229
VNM,0.377,0.6033333333333334,0.6633333333333333,0.4789999999999999
YEM,0.18566666666666667,0.43150000000000005,0.5713333333333334,0.5
ZMB,0.4096666666666667,0.5556666666666668,0.5956666666666667,0.611
ZWE,0.26499999999999996,0.6406666666666666,0.5093333333333333,0.347
