ISO3,Rating,CurrentAccountBal/GDP,GDPgrowth,Regulatory_Efficiency,Government_Size,Rule_of_Law,Monetary_Freedom,Labor_Freedom,Business_Freedom,Government_Spending,Government_Integrity
PNG,0.35,12.013,5.2989999999999995,0.669,0.678,0.225,0.727,0.745,0.535,0.687,0.25
PRY,0.45,-0.833,3.08,0.5433333333333333,0.8895,0.27,0.7829999999999999,0.263,0.584,0.8190000000000001,0.24
PHL,0.55,2.4819999999999998,6.067,0.641,0.842,0.32999999999999996,0.7879999999999999,0.5820000000000001,0.5529999999999999,0.893,0.36
QAT,0.9,8.502,3.658,0.738,0.8580000000000001,0.69,0.797,0.7120000000000001,0.705,0.7190000000000001,0.68
COG,0.32499999999999996,-54.141000000000005,2.6189999999999998,0.48133333333333334,0.6405000000000001,0.16,0.716,0.36,0.368,0.607,0.22
RUS,0.525,4.945,-2.5,0.6636666666666666,0.7195,0.24000000000000002,0.639,0.589,0.763,0.578,0.28
RWA,0.35,-14.485,8.873,0.7333333333333334,0.797,0.41500000000000004,0.76,0.845,0.595,0.792,0.53
SAU,0.8500000000000001,-8.67,4.106,0.6896666666666667,0.808,0.43000000000000005,0.684,0.727,0.6579999999999999,0.619,0.46
SRB,0.375,-4.711,0.758,0.668,0.5475000000000001,0.435,0.722,0.7040000000000001,0.578,0.271,0.42
SYC,0.4,-18.601,4.9110000000000005,0.6920000000000001,0.696,0.52,0.76,0.639,0.677,0.594,0.54
ZAF,0.55,-4.593,1.28,0.6983333333333334,0.6885,0.45999999999999996,0.7490000000000001,0.616,0.73,0.682,0.42
TWN,0.8,14.247,0.8059999999999999,0.7696666666666667,0.8375,0.655,0.833,0.552,0.924,0.871,0.61
TTO,0.75,7.64,1.714,0.7206666666666667,0.7415,0.44,0.743,0.7659999999999999,0.653,0.693,0.38
TUN,0.4,-8.92,1.153,0.7503333333333334,0.7255,0.405,0.748,0.691,0.812,0.708,0.41
UGA,0.35,-7.127000000000001,5.67,0.6903333333333334,0.8115,0.255,0.763,0.875,0.433,0.89,0.26
UKR,0.15,1.7209999999999999,-9.773,0.6203333333333333,0.5335000000000001,0.225,0.7859999999999999,0.48200000000000004,0.593,0.28,0.25
URY,0.6,-0.96,0.371,0.695,0.7109999999999999,0.715,0.716,0.643,0.726,0.6509999999999999,0.73
VEN,0.15,-6.6160000000000005,-6.221,0.36200000000000004,0.635,0.125,0.428,0.242,0.41600000000000004,0.52,0.2
ZMB,0.3,-3.911,2.92,0.6246666666666667,0.7495,0.33999999999999997,0.732,0.46,0.682,0.78,0.38
