"Carimbo de data/hora","De acordo com a teoria aceleracionista da curva de Phillips, combinada com a hipótese de expectativas adaptativas, o combate à inflação exige uma recessão permanente.","De acordo com a hipótese das expectativas racionais, uma expansão monetária tem um efeito temporário sobre a renda, mesmo se antecipada pelos agentes econômicos.","Justifique a resposta anterior"
"2020/11/09 10:13:30 AM GMT-3","Verdadeiro","Falso","De acordo com a hipótese de expectativas racionais, mudanças nas políticas monetárias seriam sempre antecipadas e ajustadas instantaneamente pelos preços. Dessa forma, essas políticas não teriam efeito real nenhum, nem mesmo no curto prazo. "
"2020/11/09 10:13:31 AM GMT-3","Falso","Falso","Na verdade a expansão monetária só possui efeito real temporário sobre a renda se a mesma não for antecipada pelos agentes econômicos. No caso da antecipação, os agente incorporam em suas expectativas essa expansão e ajustam os preços e salários de acordo com as expectativas, fazendo com que não haja nenhuma variação real. Ou seja, considerando somente o lado monetário e não o real, apenas a inflação inesperada pode alterar a renda real."
"2020/11/09 10:14:04 AM GMT-3","Falso","Falso","Não. Esse efeito seria a ilusão monetária visto na teoria dos monetarista do tipo 1. No monetarismo do tipo 2 politicas monetárias não alteram variáveis reais, sendo os agentes  racionais com expectativas  adaptativas, em que eles conseguem tem uma noção de qual vai ser a inflação futura baseado em sua experiências e conhecimentos. Eles nem sempre acertam, mas no geral o saldo o positivo ao agente econômico."
"2020/11/09 10:14:13 AM GMT-3","Verdadeiro","Falso","Falso, a moeda seria ""super-neutra"" e veríamos um deslocamento vertical sobre a curva de renda natural, a expansão monetária causaria uma elevação no nível de preços direto, já no curto prazo, não havendo um efeito temporário sobre a renda."
"2020/11/09 10:14:16 AM GMT-3","Verdadeiro","Falso","A frase é falsa, uma vez que, de acordo com o arcabouço estudado, uma expansão monetária prevista ou antecipada pelos agentes não é capaz de realizar qualquer efeito sobre o nível de atividade econômica."
"2020/11/09 10:14:49 AM GMT-3","Falso","Falso","No modelo neoclássico, uma expansão monetária que é antecipada pelos agentes tem efeitos sobre a formação de expectativas. Uma vez que os agentes percebem que a mudança se dá apenas nos preços relativos, o produto e o desemprego permanecem em seus níveis naturais. "
"2020/11/09 10:14:53 AM GMT-3","Falso","Verdadeiro","Um dos postulados do modelo é que ""política monetária só afeta variáveis reais no CP"" (p.135). O modelo de Lucas sugere, entretanto, que no longo prazo a renda tende à Yn, renda natural. Portanto, o efeito da expansão monetária é temporário."
"2020/11/09 10:14:53 AM GMT-3","Verdadeiro","Falso","Caso os agentes consigam antecipar toda a mudança de preços, os salários seriam adaptados ao mesmo nível real, assim sendo, haveria inflação, mas não aumento de renda."
"2020/11/09 10:15:02 AM GMT-3","Verdadeiro","Verdadeiro","No caso das expectativas racionais a única forma de reduzir a inflação seria por meio de um aumento do desemprego. Isso faz com que a inflação vá caindo e as expectativas se revertendo para o futuro.Com a queda da π efetiva, período a período (μ>μn), as expectativas inflacionárias vão diminuindo, mas, isso com recessão."
"2020/11/09 10:15:03 AM GMT-3","Falso","Falso","Para os novos clássicos, a hipótese das expectativas racionais afirma que os agentes conseguem antecipar os efeitos de políticas econômicas sobre as variáveis reais (como nível de produto e emprego) quando anunciadas. No exercício acima, a expansão da base monetária fez com que os agentes ajustassem suas expectativas (pois anteciparam os efeitos da política) e a moeda se tornou super-neutra, não tendo efeito em nenhuma variável real no curto prazo, inclusive a renda. O único efeito dessa política monetária seria o aumento da inflação."
"2020/11/09 10:15:16 AM GMT-3","Verdadeiro","Verdadeiro","Um dos pressupostos da teoria novo clássica é a tendência ao Market Clearing, ou seja, a tendência constante ao equilíbrio geral, ideia que pressupõe, como dito anteriormente, que os preços sejam flexíveis e se ajustem instantaneamente às alterações de oferta e demanda. O plano de fundo da teoria novo clássica se ancora na crença absoluta nos mercados, ou seja, eles acreditam que os agentes são otimizadores e tomam sempre as melhores decisões, assim, os novos clássicos entendem que os preços são flexíveis e, por isso, a economia tende a um
equilíbrio. Desse modo, a renda se ajustaria no longo prazo."
"2020/11/09 10:15:18 AM GMT-3","Falso","Falso","Se houver informação perfeita, não há qualquer mudança no nível de equilíbrio da economia, dado que os agentes maximizam suas funções-obejtivos de acordo com a informação existente, e, portanto, não há possibilidade de inflação-surpresa, de modo que a economia real em nada se altera.  "
"2020/11/09 10:15:19 AM GMT-3","Falso","Falso","De acordo com a política monetarista do tipo dois, quando há antecipação das ações tomadas pela autoridade monetária, não há efeito sobre a renda e desemprego, gerando uma moeda super-neutra. Resumidamente, a análise dos novos clássicos sugere que uma antecipação do aumento da oferta de moeda leva a um aumento no nível de preços e não terão efeito no produto e emprego real, além disso, uma ação surpresa pode afetar as variáveis reais  apenas no curto prazo.  "
"2020/11/09 10:15:44 AM GMT-3","Falso","Falso","O combate à inflação ocasiona uma contração ou desaceleração econômica no curto prazo, durante a qual os agentes sofrem de ilusão monetária, pois possuem uma expectativa adaptativa acerca da inflação superior à verificada, e, portanto, há uma redução da oferta de trabalho e do nível de atividade econômica. 

Contudo, no LP, verifica-se a neutralidade da moeda e o ocaso da ilusão monetária implica que o nível de atividade será determinado por fatores reais. Assim, a primeira afirmação é falsa e o combate pode apenas exigir uma recessão temporária.

Uma expansão monetária, para os novos clássicos, não tem efeitos sobre a renda caso seja antecipada pelos agentes. Essa expansão será incorporada nas expectativas racionais inflacionárias e, portanto, não afetará decisões de fixação de salários, preços e nível de atividade econômica. Portanto, a alternativa é falsa."
"2020/11/09 10:15:48 AM GMT-3","Verdadeiro","Falso","Pois se eles(os agentes) conseguirem prever todas as mudanças de preço dos salarios, os salarios seriam adaptados ao mesmo nivel real."
"2020/11/09 10:16:20 AM GMT-3","Verdadeiro","Falso","A hipótese das expectativas racionais considera que ,dada a racionalidade dos agentes econômicos e a disponibilidade de informação, há a antecipação e a consequente incorporação de futuros movimentos monetarios (expansão ou contração) nas expectativas econômicas. Portanto, Quando totalmente antecipada pelos agentes, não existirá alteração significativa da renda pois os agentes se adptarão instantaneamente."
"2020/11/09 10:16:41 AM GMT-3","Falso","Falso","Há um lag temporal até os agentes serem capazes de incorporarem essa informação às expectativas."
"2020/11/09 10:16:46 AM GMT-3","Verdadeiro","Falso","a expansão monetária antecipada pelos agentes econômicos não teria impacto sobre a renda, uma vez que seria levada em conta pelos agentes em suas expectativas racionais, uma vez que eles utilizam toda a informação disponível ao público na formulação de expectativas. Assim, para os monetaristas tipo 2, a politica monetária teria um efeito neutro na economia quando esperada pelos agentes."
"2020/11/09 10:16:47 AM GMT-3","Verdadeiro","Verdadeiro","Os agentes incorporam todas as informações atuais relevantes para a formação de suas expectativas além de adaptar-se a também, aos resultados passados. Logo, o equilíbrio constante é encontrado pelas expectativas racionais."
"2020/11/09 10:16:49 AM GMT-3","Verdadeiro","Verdadeiro","Segundo a hipótese das expectativas racionais, os agentes formam suas expectativas ponderando, principalmente, as informações da política econômica recente e o que é esperado que ocorra no futuro (diferentemente das expectativas adaptativas em que os agentes se voltavam as informações passadas). Dentro desse contexto, de acordo com os monetaristas 2.0, os agentes se programam de acordo com suas expectativas, assim, apenas surpresas monetárias que podem causar distúrbios no equilíbrio. Por isso, uma expansão monetária anunciada antecipadamente e colocada em prática (credibilidade), não causa distúrbios monetários no longo prazo."
"2020/11/09 10:16:58 AM GMT-3","Verdadeiro","Falso","No primeiro caso das expectativas adaptativas a redução da inflação seria por meio do desemprego, os agentes sempre tão levando a inflação do passado projetada para o futuro . E no segundo a moeda é neutra, e não ocorre alteração na renda. "
"2020/11/09 10:17:02 AM GMT-3","Verdadeiro","Falso","No curto prazo, por considerarem a existência de informações imperfeitas, os agentes racionais, que ponderam suas expectativas pelas informações disponíveis, não conseguem antecipar o que os monetaristas tipo II consideram como o único evento que foge da neutralidade da moeda, que é a surpresa monetária. Por isso, se uma expansão monetária for antecipada pelos agentes econômicos ela não terá efeito sobre a renda, uma vez que apenas a inflação surpresa tem um impacto sobre as variáveis reais. Entretanto, vale lembrar que, por conta disso, no curto prazo, os agentes têm uma atitude preventiva considerando a inflação e, assim, a curva de oferta depende positivamente da inflação."
"2020/11/09 10:17:06 AM GMT-3","Falso","Falso","A política monetária é perfeitamente incorporada pelos agentes na formação de suas expectativas e, portanto, essas não têm capacidade de efeito sobre variáveis, o que ressalta a super neutralidade da moeda no sistema econômico. Dessa maneira a eficácia da política monetária fica reduzida apenas a surpresas inflacionárias, que não sejam utilizadas sistematicamente como política econômica e que os agentes não têm conhecimento prévio.
"
"2020/11/09 10:17:12 AM GMT-3","Verdadeiro","Verdadeiro","há um lag temporal para a incorporação das expectativas"
"2020/11/09 10:17:43 AM GMT-3","Falso","Falso","De acordo com a hipótese das expectativas racionais apresentada pela Escola Novo Clássica, embora os agentes sejam racionais, erros de previsões podem ocorrer quando a sociedade se vê diante à uma surpresa econômica. Dessa forma, uma previsão de inflação baseada nas informações disponíveis no período presente gera, ao ser ""quebrada"" no futuro devido à uma expansão monetária, um aumento da produção (os agentes acreditam erroneamente que se trate de um aumento relativo dos preços) e, portanto, da renda. Porém, esse efeito é temporário, uma vez que, justamente por serem racionais, logo os agentes percebem seus erros e passam a agir sistematicamente para não reproduzi-los. Dessa forma, uma expansão monetária tem um efeito temporário sobre a renda se, e somente se, ela não ser antecipada pelos agentes econômicos."
"2020/11/09 10:18:17 AM GMT-3","Verdadeiro","Falso","Segundo a hipótese das expectativas racionais, os agentes formam suas expectativas ponderando, principalmente, as informações da política econômica recente e o que é esperado que ocorra no futuro (diferentemente das expectativas adaptativas em que os agentes se voltavam as informações passadas). Dentro desse contexto, de acordo com os monetaristas 2.0, os agentes se programam de acordo com suas expectativas, assim, apenas surpresas monetárias que podem causar distúrbios no equilíbrio. Por isso, uma expansão monetária anunciada antecipadamente e colocada em prática (credibilidade), não causa distúrbios monetários."
"2020/11/09 10:18:39 AM GMT-3","Verdadeiro","Falso","Uma expansão monetária não terá efeito sobre a renda, segundo a hipótese das expectativas racionais a expectativa não é  enviesada, a expectativa subjetiva das pessoas, corresponde ao que a economia prevê em media (apesar de existir o erro). Os agentes absorvem toda a informação disponível para criar suas expectativas. A única forma de afetar a renda seria através de choques inflacionários surpresas."
"2020/11/09 10:18:43 AM GMT-3","Verdadeiro","Falso","Não, como os agentes já formaram as suas expectativas com a informação disponível, e ela sendo perfeita, não haverá um aumento e nem uma queda do desemprego e renda irá se permanecer"
"2020/11/09 10:18:53 AM GMT-3","Verdadeiro","Falso","A expansão monetária não possui efeito sobre a renda caso seja antecipada pelos agentes, pois essas mudanças já são incluídas nas expectativas racionais antes, mantendo assim o mesma relação."
